Vardas              Pavarde             ND1       ND2       ND3       ND4       ND5       Egz.      
Vardas536           Pavarde536          7         7         5         1         7         6         
Vardas537           Pavarde537          2         2         5         2         9         4         
Vardas538           Pavarde538          1         6         9         1         10        9         
Vardas539           Pavarde539          10        3         1         4         10        3         
Vardas540           Pavarde540          1         9         9         5         8         1         
Vardas541           Pavarde541          5         5         3         5         2         3         
Vardas542           Pavarde542          1         3         7         4         2         5         
Vardas543           Pavarde543          7         3         3         5         10        8         
Vardas544           Pavarde544          6         9         8         6         4         10        
Vardas545           Pavarde545          3         3         2         10        1         6         
Vardas546           Pavarde546          9         9         5         6         4         7         
Vardas547           Pavarde547          4         2         4         4         9         9         
Vardas548           Pavarde548          10        8         9         9         5         5         
Vardas549           Pavarde549          5         10        3         5         1         10        
Vardas550           Pavarde550          10        1         2         5         1         1         
Vardas551           Pavarde551          9         2         5         1         6         9         
Vardas552           Pavarde552          3         6         10        5         10        9         
Vardas553           Pavarde553          4         10        2         4         8         4         
Vardas554           Pavarde554          6         8         1         1         4         8         
Vardas555           Pavarde555          9         10        10        7         3         7         
Vardas556           Pavarde556          2         1         2         6         3         5         
Vardas557           Pavarde557          3         1         10        1         1         2         
Vardas558           Pavarde558          9         9         4         5         4         3         
Vardas559           Pavarde559          6         3         5         1         6         8         
Vardas560           Pavarde560          9         6         10        10        3         7         
Vardas561           Pavarde561          7         5         5         4         9         2         
Vardas562           Pavarde562          2         4         5         10        7         5         
Vardas563           Pavarde563          10        10        7         10        2         10        
Vardas564           Pavarde564          5         1         1         8         2         2         
Vardas565           Pavarde565          10        9         8         2         6         5         
Vardas566           Pavarde566          4         4         3         3         1         7         
Vardas567           Pavarde567          8         7         2         2         10        7         
Vardas568           Pavarde568          4         10        3         9         3         7         
Vardas569           Pavarde569          5         3         7         2         9         6         
Vardas570           Pavarde570          1         4         10        2         5         1         
Vardas571           Pavarde571          10        5         6         10        10        1         
Vardas572           Pavarde572          6         3         1         7         5         2         
Vardas573           Pavarde573          2         6         4         3         4         6         
Vardas574           Pavarde574          4         4         10        8         6         9         
Vardas575           Pavarde575          2         6         8         6         1         2         
Vardas576           Pavarde576          9         2         7         2         4         3         
Vardas577           Pavarde577          10        5         10        5         1         10        
Vardas578           Pavarde578          7         8         8         2         7         10        
Vardas579           Pavarde579          10        3         10        10        2         3         
Vardas580           Pavarde580          3         4         6         8         9         10        
Vardas581           Pavarde581          5         5         1         10        6         2         
Vardas582           Pavarde582          9         2         1         9         10        4         
Vardas583           Pavarde583          1         8         9         1         5         9         
Vardas584           Pavarde584          7         7         10        8         9         10        
Vardas585           Pavarde585          1         6         2         10        7         4         
Vardas586           Pavarde586          9         10        3         3         7         3         
Vardas587           Pavarde587          7         1         4         7         10        4         
Vardas588           Pavarde588          7         5         4         3         6         8         
Vardas589           Pavarde589          7         5         3         1         8         9         
Vardas590           Pavarde590          1         7         9         10        6         7         
Vardas591           Pavarde591          3         4         5         7         10        6         
Vardas592           Pavarde592          9         10        8         5         6         1         
Vardas593           Pavarde593          10        4         5         7         7         7         
Vardas594           Pavarde594          4         2         7         2         4         1         
Vardas595           Pavarde595          9         10        4         8         1         1         
Vardas596           Pavarde596          3         6         10        4         7         5         
Vardas597           Pavarde597          8         4         9         9         2         6         
Vardas598           Pavarde598          3         5         3         10        10        7         
Vardas599           Pavarde599          6         6         5         10        2         6         
Vardas600           Pavarde600          8         7         3         6         7         7         
Vardas601           Pavarde601          6         1         3         4         2         1         
Vardas602           Pavarde602          9         1         4         6         10        1         
Vardas603           Pavarde603          2         4         3         2         6         7         
Vardas604           Pavarde604          5         6         7         6         7         1         
Vardas605           Pavarde605          4         4         1         3         1         7         
Vardas606           Pavarde606          3         3         4         8         3         2         
Vardas607           Pavarde607          7         9         10        8         5         1         
Vardas608           Pavarde608          6         8         8         8         9         7         
Vardas609           Pavarde609          10        3         8         10        1         10        
Vardas610           Pavarde610          1         6         6         3         4         6         
Vardas611           Pavarde611          6         2         10        8         10        2         
Vardas612           Pavarde612          7         5         7         9         8         1         
Vardas613           Pavarde613          5         1         1         9         1         8         
Vardas614           Pavarde614          7         9         5         8         1         8         
Vardas615           Pavarde615          9         8         9         9         10        7         
Vardas616           Pavarde616          7         3         6         5         10        4         
Vardas617           Pavarde617          9         9         10        10        5         3         
Vardas618           Pavarde618          3         1         7         1         10        7         
Vardas619           Pavarde619          4         6         9         9         2         6         
Vardas620           Pavarde620          10        3         7         2         1         9         
Vardas621           Pavarde621          7         5         8         8         10        5         
Vardas622           Pavarde622          4         8         9         3         10        2         
Vardas623           Pavarde623          10        2         10        3         10        5         
Vardas624           Pavarde624          6         8         1         6         8         1         
Vardas625           Pavarde625          2         5         2         2         6         6         
Vardas626           Pavarde626          8         10        10        1         5         2         
Vardas627           Pavarde627          3         8         4         1         5         9         
Vardas628           Pavarde628          3         5         9         10        1         2         
Vardas629           Pavarde629          2         1         5         1         3         4         
Vardas630           Pavarde630          8         8         1         6         2         8         
Vardas631           Pavarde631          3         2         2         6         1         9         
Vardas632           Pavarde632          1         9         8         3         10        1         
Vardas633           Pavarde633          10        6         2         4         4         1         
Vardas634           Pavarde634          2         5         9         5         3         2         
Vardas635           Pavarde635          1         6         4         8         2         7         
Vardas636           Pavarde636          8         2         4         10        2         8         
Vardas637           Pavarde637          7         9         5         9         3         2         
Vardas638           Pavarde638          3         10        2         4         9         8         
Vardas639           Pavarde639          3         4         6         4         4         9         
Vardas640           Pavarde640          3         8         1         2         2         5         
Vardas641           Pavarde641          9         6         6         9         4         2         
Vardas642           Pavarde642          6         9         9         5         9         6         
Vardas643           Pavarde643          10        10        9         9         3         10        
Vardas644           Pavarde644          6         2         3         3         1         2         
Vardas645           Pavarde645          8         3         5         3         10        9         
Vardas646           Pavarde646          2         8         5         1         4         9         
Vardas647           Pavarde647          4         3         2         7         7         10        
Vardas648           Pavarde648          3         5         4         3         6         10        
Vardas649           Pavarde649          4         4         3         5         3         3         
Vardas650           Pavarde650          6         2         1         2         1         10        
Vardas651           Pavarde651          9         2         5         2         9         4         
Vardas652           Pavarde652          9         3         6         9         5         2         
Vardas653           Pavarde653          9         4         7         8         2         8         
Vardas654           Pavarde654          1         8         2         4         7         6         
Vardas655           Pavarde655          9         5         5         3         10        8         
Vardas656           Pavarde656          9         6         8         1         3         9         
Vardas657           Pavarde657          7         7         9         6         4         6         
Vardas658           Pavarde658          5         1         5         6         5         10        
Vardas659           Pavarde659          10        5         5         3         8         8         
Vardas660           Pavarde660          5         4         8         7         6         10        
Vardas661           Pavarde661          8         8         6         10        6         5         
Vardas662           Pavarde662          3         5         8         2         10        1         
Vardas663           Pavarde663          9         4         9         2         2         9         
Vardas664           Pavarde664          8         9         3         1         4         1         
Vardas665           Pavarde665          9         10        7         9         5         8         
Vardas666           Pavarde666          2         6         8         9         7         3         
Vardas667           Pavarde667          1         6         1         1         3         9         
Vardas668           Pavarde668          3         3         6         3         9         10        
Vardas669           Pavarde669          6         9         7         2         8         3         
Vardas670           Pavarde670          8         9         5         7         9         4         
Vardas671           Pavarde671          8         5         3         4         2         3         
Vardas672           Pavarde672          4         6         4         4         5         5         
Vardas673           Pavarde673          2         10        5         9         4         5         
Vardas674           Pavarde674          1         2         1         2         6         2         
Vardas675           Pavarde675          7         10        5         2         8         9         
Vardas676           Pavarde676          5         7         8         5         10        8         
Vardas677           Pavarde677          4         8         1         10        10        7         
Vardas678           Pavarde678          10        4         5         8         8         4         
Vardas679           Pavarde679          8         4         6         3         1         10        
Vardas680           Pavarde680          7         4         7         3         4         4         
Vardas681           Pavarde681          5         5         8         3         2         3         
Vardas682           Pavarde682          7         7         6         6         8         3         
Vardas683           Pavarde683          5         8         4         2         10        1         
Vardas684           Pavarde684          8         1         6         4         2         2         
Vardas685           Pavarde685          5         1         5         1         9         2         
Vardas686           Pavarde686          7         5         1         6         1         8         
Vardas687           Pavarde687          4         5         4         3         6         3         
Vardas688           Pavarde688          10        10        2         7         1         9         
Vardas689           Pavarde689          7         10        4         7         8         3         
Vardas690           Pavarde690          3         8         1         10        9         2         
Vardas691           Pavarde691          9         10        4         4         8         8         
Vardas692           Pavarde692          2         9         5         2         8         5         
Vardas693           Pavarde693          8         4         10        2         9         1         
Vardas694           Pavarde694          5         5         4         2         10        2         
Vardas695           Pavarde695          3         8         2         6         1         4         
Vardas696           Pavarde696          10        2         8         3         4         7         
Vardas697           Pavarde697          1         7         3         5         2         8         
Vardas698           Pavarde698          5         3         1         3         4         8         
Vardas699           Pavarde699          7         3         9         6         7         7         
Vardas700           Pavarde700          4         9         6         9         8         2         
Vardas701           Pavarde701          3         9         6         1         4         8         
Vardas702           Pavarde702          7         5         5         1         4         2         
Vardas703           Pavarde703          3         7         7         3         4         3         
Vardas704           Pavarde704          2         9         1         1         6         3         
Vardas705           Pavarde705          6         5         8         7         9         9         
Vardas706           Pavarde706          6         1         6         2         3         6         
Vardas707           Pavarde707          6         1         6         9         10        10        
Vardas708           Pavarde708          6         3         2         9         9         1         
Vardas709           Pavarde709          10        2         4         6         1         5         
Vardas710           Pavarde710          8         7         5         3         9         7         
Vardas711           Pavarde711          3         9         10        5         9         7         
Vardas712           Pavarde712          7         7         1         3         1         6         
Vardas713           Pavarde713          7         7         9         6         10        10        
Vardas714           Pavarde714          3         4         1         1         10        2         
Vardas715           Pavarde715          6         3         1         8         9         9         
Vardas716           Pavarde716          2         8         5         4         10        10        
Vardas717           Pavarde717          7         2         2         2         7         7         
Vardas718           Pavarde718          4         3         3         1         5         2         
Vardas719           Pavarde719          8         2         5         8         7         4         
Vardas720           Pavarde720          1         9         7         9         9         9         
Vardas721           Pavarde721          7         6         9         7         5         9         
Vardas722           Pavarde722          10        3         8         1         4         2         
Vardas723           Pavarde723          9         1         8         9         2         10        
Vardas724           Pavarde724          5         5         5         7         6         3         
Vardas725           Pavarde725          9         7         4         8         8         5         
Vardas726           Pavarde726          5         4         10        8         8         3         
Vardas727           Pavarde727          4         4         10        3         10        10        
Vardas728           Pavarde728          7         10        3         4         3         9         
Vardas729           Pavarde729          8         7         3         2         3         5         
Vardas730           Pavarde730          8         7         4         5         3         9         
Vardas731           Pavarde731          2         9         6         5         4         6         
Vardas732           Pavarde732          5         10        5         8         5         2         
Vardas733           Pavarde733          8         4         10        6         10        8         
Vardas734           Pavarde734          4         7         2         4         8         10        
Vardas735           Pavarde735          8         6         8         7         3         6         
Vardas736           Pavarde736          10        10        10        4         6         5         
Vardas737           Pavarde737          6         8         9         3         6         8         
Vardas738           Pavarde738          5         2         5         1         6         6         
Vardas739           Pavarde739          7         2         1         6         3         5         
Vardas740           Pavarde740          6         5         10        3         8         10        
Vardas741           Pavarde741          8         9         2         10        4         10        
Vardas742           Pavarde742          3         3         4         2         8         6         
Vardas743           Pavarde743          9         10        4         10        2         4         
Vardas744           Pavarde744          5         9         5         6         2         1         
Vardas745           Pavarde745          8         4         7         6         2         6         
Vardas746           Pavarde746          8         9         1         9         7         8         
Vardas747           Pavarde747          2         5         9         3         3         4         
Vardas748           Pavarde748          10        3         5         7         8         6         
Vardas749           Pavarde749          7         6         9         1         4         7         
Vardas750           Pavarde750          4         1         8         2         6         9         
Vardas751           Pavarde751          4         3         1         9         8         2         
Vardas752           Pavarde752          1         8         9         3         3         8         
Vardas753           Pavarde753          8         9         10        7         9         5         
Vardas754           Pavarde754          6         3         4         7         1         1         
Vardas755           Pavarde755          8         2         7         1         7         5         
Vardas756           Pavarde756          7         5         4         6         5         4         
Vardas757           Pavarde757          3         8         1         6         4         4         
Vardas758           Pavarde758          1         10        7         3         1         9         
Vardas759           Pavarde759          2         8         6         10        5         1         
Vardas760           Pavarde760          5         8         1         2         3         8         
Vardas761           Pavarde761          7         4         3         6         4         7         
Vardas762           Pavarde762          6         6         2         9         7         7         
Vardas763           Pavarde763          2         4         9         5         1         5         
Vardas764           Pavarde764          9         9         3         9         2         6         
Vardas765           Pavarde765          10        8         1         1         5         10        
Vardas766           Pavarde766          5         1         3         9         8         1         
Vardas767           Pavarde767          5         3         1         6         3         5         
Vardas768           Pavarde768          2         3         10        9         4         8         
Vardas769           Pavarde769          6         8         6         5         6         4         
Vardas770           Pavarde770          7         10        1         8         4         9         
Vardas771           Pavarde771          2         8         9         9         10        7         
Vardas772           Pavarde772          8         9         5         5         9         4         
Vardas773           Pavarde773          6         2         10        7         8         5         
Vardas774           Pavarde774          3         8         7         10        9         6         
Vardas775           Pavarde775          9         8         6         9         7         5         
Vardas776           Pavarde776          6         9         3         9         9         10        
Vardas777           Pavarde777          4         10        6         7         10        7         
Vardas778           Pavarde778          4         1         9         4         7         10        
Vardas779           Pavarde779          6         3         6         4         7         7         
Vardas780           Pavarde780          2         4         3         1         7         10        
Vardas781           Pavarde781          9         1         3         6         3         7         
Vardas782           Pavarde782          2         9         4         10        6         4         
Vardas783           Pavarde783          2         2         8         4         3         10        
Vardas784           Pavarde784          2         5         5         3         1         3         
Vardas785           Pavarde785          2         1         1         10        9         10        
Vardas786           Pavarde786          2         9         4         3         6         6         
Vardas787           Pavarde787          5         9         4         2         9         7         
Vardas788           Pavarde788          7         5         4         4         9         2         
Vardas789           Pavarde789          5         4         5         9         8         9         
Vardas790           Pavarde790          4         7         3         2         10        1         
Vardas791           Pavarde791          3         1         10        9         10        5         
Vardas792           Pavarde792          5         4         3         1         8         3         
Vardas793           Pavarde793          7         7         3         7         5         3         
Vardas794           Pavarde794          1         10        10        4         6         3         
Vardas795           Pavarde795          1         1         5         4         7         6         
Vardas796           Pavarde796          6         4         2         2         5         7         
Vardas797           Pavarde797          2         7         7         3         7         8         
Vardas798           Pavarde798          6         7         3         9         10        2         
Vardas799           Pavarde799          4         3         9         7         8         4         
Vardas800           Pavarde800          10        2         5         7         10        1         
Vardas801           Pavarde801          4         3         4         10        7         1         
Vardas802           Pavarde802          5         2         6         1         4         2         
Vardas803           Pavarde803          4         7         8         5         8         7         
Vardas804           Pavarde804          3         3         1         2         6         2         
Vardas805           Pavarde805          4         10        7         6         1         1         
Vardas806           Pavarde806          5         2         6         4         2         4         
Vardas807           Pavarde807          4         2         7         9         9         5         
Vardas808           Pavarde808          6         8         1         2         5         9         
Vardas809           Pavarde809          2         2         2         5         2         4         
Vardas810           Pavarde810          8         7         10        8         7         8         
Vardas811           Pavarde811          1         5         4         8         6         3         
Vardas812           Pavarde812          8         9         8         6         7         5         
Vardas813           Pavarde813          2         3         2         6         1         4         
Vardas814           Pavarde814          3         8         3         6         3         7         
Vardas815           Pavarde815          8         7         1         7         2         4         
Vardas816           Pavarde816          7         6         4         8         9         6         
Vardas817           Pavarde817          6         10        6         3         10        4         
Vardas818           Pavarde818          3         3         5         3         6         9         
Vardas819           Pavarde819          7         5         9         4         8         10        
Vardas820           Pavarde820          10        2         6         4         6         7         
Vardas821           Pavarde821          4         4         6         1         2         2         
Vardas822           Pavarde822          10        3         2         7         5         7         
Vardas823           Pavarde823          8         6         4         2         7         8         
Vardas824           Pavarde824          10        6         5         6         3         6         
Vardas825           Pavarde825          8         8         4         7         2         5         
Vardas826           Pavarde826          3         10        7         1         8         9         
Vardas827           Pavarde827          8         6         8         4         10        6         
Vardas828           Pavarde828          3         9         2         9         6         9         
Vardas829           Pavarde829          10        6         1         3         5         1         
Vardas830           Pavarde830          1         10        10        1         2         3         
Vardas831           Pavarde831          3         2         2         5         1         3         
Vardas832           Pavarde832          1         2         5         2         2         7         
Vardas833           Pavarde833          5         1         8         1         9         1         
Vardas834           Pavarde834          9         2         3         6         2         7         
Vardas835           Pavarde835          8         5         4         5         7         7         
Vardas836           Pavarde836          2         6         6         9         6         7         
Vardas837           Pavarde837          2         5         3         8         3         9         
Vardas838           Pavarde838          6         1         7         8         9         8         
Vardas839           Pavarde839          6         2         2         8         3         1         
Vardas840           Pavarde840          9         2         3         7         8         6         
Vardas841           Pavarde841          9         1         4         5         5         6         
Vardas842           Pavarde842          7         3         9         8         8         10        
Vardas843           Pavarde843          5         1         8         2         5         2         
Vardas844           Pavarde844          1         5         2         4         2         8         
Vardas845           Pavarde845          4         1         2         8         4         4         
Vardas846           Pavarde846          5         6         10        1         6         2         
Vardas847           Pavarde847          5         5         5         1         9         10        
Vardas848           Pavarde848          4         6         6         3         3         3         
Vardas849           Pavarde849          10        5         8         10        8         1         
Vardas850           Pavarde850          1         1         7         4         3         2         
Vardas851           Pavarde851          3         5         2         2         5         2         
Vardas852           Pavarde852          5         6         1         2         3         4         
Vardas853           Pavarde853          10        9         3         6         10        9         
Vardas854           Pavarde854          1         4         3         2         8         5         
Vardas855           Pavarde855          8         8         7         10        1         1         
Vardas856           Pavarde856          8         3         5         6         9         6         
Vardas857           Pavarde857          3         4         2         9         7         2         
Vardas858           Pavarde858          10        4         5         4         2         8         
Vardas859           Pavarde859          10        8         8         2         4         2         
Vardas860           Pavarde860          10        5         10        1         2         4         
Vardas861           Pavarde861          6         1         8         1         4         6         
Vardas862           Pavarde862          8         1         10        4         9         4         
Vardas863           Pavarde863          4         2         5         9         4         1         
Vardas864           Pavarde864          6         5         7         6         1         4         
Vardas865           Pavarde865          1         1         2         4         1         7         
Vardas866           Pavarde866          3         8         5         2         8         7         
Vardas867           Pavarde867          2         1         8         8         5         7         
Vardas868           Pavarde868          4         4         9         2         5         6         
Vardas869           Pavarde869          10        7         8         8         7         10        
Vardas870           Pavarde870          10        10        10        9         8         9         
Vardas871           Pavarde871          6         1         4         2         5         7         
Vardas872           Pavarde872          10        9         7         9         10        6         
Vardas873           Pavarde873          1         4         9         9         2         1         
Vardas874           Pavarde874          7         4         6         4         6         6         
Vardas875           Pavarde875          7         6         1         3         3         10        
Vardas876           Pavarde876          8         7         9         9         3         5         
Vardas877           Pavarde877          2         4         2         10        8         7         
Vardas878           Pavarde878          4         5         10        2         1         10        
Vardas879           Pavarde879          1         5         4         3         10        9         
Vardas880           Pavarde880          8         6         1         4         3         5         
Vardas881           Pavarde881          8         4         1         1         1         7         
Vardas882           Pavarde882          3         6         8         9         6         6         
Vardas883           Pavarde883          2         4         4         7         3         3         
Vardas884           Pavarde884          6         5         7         10        9         3         
Vardas885           Pavarde885          3         4         7         2         4         10        
Vardas886           Pavarde886          8         7         6         10        8         6         
Vardas887           Pavarde887          9         7         6         10        10        6         
Vardas888           Pavarde888          7         4         8         3         10        4         
Vardas889           Pavarde889          4         10        2         5         1         10        
Vardas890           Pavarde890          5         1         6         1         10        2         
Vardas891           Pavarde891          7         2         1         9         4         8         
Vardas892           Pavarde892          1         5         1         7         3         10        
Vardas893           Pavarde893          9         3         2         1         8         3         
Vardas894           Pavarde894          4         6         10        9         2         6         
Vardas895           Pavarde895          8         5         10        3         8         8         
Vardas896           Pavarde896          10        9         6         9         6         6         
Vardas897           Pavarde897          5         10        4         7         10        3         
Vardas898           Pavarde898          6         5         4         6         7         2         
Vardas899           Pavarde899          10        2         7         6         4         4         
Vardas900           Pavarde900          6         5         9         2         6         10        
Vardas901           Pavarde901          3         10        6         5         9         6         
Vardas902           Pavarde902          7         1         1         2         7         10        
Vardas903           Pavarde903          7         5         9         6         7         7         
Vardas904           Pavarde904          6         4         3         4         4         2         
Vardas905           Pavarde905          8         3         9         5         8         9         
Vardas906           Pavarde906          1         2         7         5         1         5         
Vardas907           Pavarde907          5         3         1         5         10        10        
Vardas908           Pavarde908          3         5         4         4         1         2         
Vardas909           Pavarde909          3         5         5         9         10        6         
Vardas910           Pavarde910          5         5         9         6         5         6         
Vardas911           Pavarde911          7         7         6         5         3         10        
Vardas912           Pavarde912          6         10        10        5         4         1         
Vardas913           Pavarde913          3         2         6         10        8         4         
Vardas914           Pavarde914          10        10        3         4         3         8         
Vardas915           Pavarde915          1         8         6         1         4         1         
Vardas916           Pavarde916          2         4         5         5         10        5         
Vardas917           Pavarde917          8         1         10        7         4         4         
Vardas918           Pavarde918          10        7         3         2         6         5         
Vardas919           Pavarde919          1         5         7         8         1         7         
Vardas920           Pavarde920          6         5         9         10        10        10        
Vardas921           Pavarde921          5         4         5         8         9         9         
Vardas922           Pavarde922          9         4         10        7         8         1         
Vardas923           Pavarde923          3         10        6         2         3         8         
Vardas924           Pavarde924          10        5         2         5         6         3         
Vardas925           Pavarde925          2         3         2         10        1         4         
Vardas926           Pavarde926          1         1         9         7         10        8         
Vardas927           Pavarde927          3         3         9         7         8         2         
Vardas928           Pavarde928          4         8         2         5         7         4         
Vardas929           Pavarde929          6         6         9         9         6         10        
Vardas930           Pavarde930          1         10        10        6         6         2         
Vardas931           Pavarde931          9         6         1         7         3         4         
Vardas932           Pavarde932          10        5         8         7         6         5         
Vardas933           Pavarde933          9         4         6         3         9         5         
Vardas934           Pavarde934          4         10        8         5         9         1         
Vardas935           Pavarde935          9         10        7         2         8         8         
Vardas936           Pavarde936          7         2         10        6         5         8         
Vardas937           Pavarde937          3         6         7         8         9         1         
Vardas938           Pavarde938          9         1         7         10        2         6         
Vardas939           Pavarde939          1         6         10        8         7         5         
Vardas940           Pavarde940          2         5         10        3         6         4         
Vardas941           Pavarde941          5         6         5         5         5         4         
Vardas942           Pavarde942          10        8         8         5         9         8         
Vardas943           Pavarde943          8         4         2         3         1         5         
Vardas944           Pavarde944          1         6         9         5         4         9         
Vardas945           Pavarde945          10        5         5         4         9         2         
Vardas946           Pavarde946          8         5         7         5         6         10        
Vardas947           Pavarde947          10        9         1         8         8         9         
Vardas948           Pavarde948          7         10        5         8         7         4         
Vardas949           Pavarde949          8         7         9         9         2         10        
Vardas950           Pavarde950          3         2         4         4         2         4         
Vardas951           Pavarde951          5         9         4         2         2         9         
Vardas952           Pavarde952          9         3         6         1         10        2         
Vardas953           Pavarde953          6         2         7         3         1         1         
Vardas954           Pavarde954          9         9         10        1         8         8         
Vardas955           Pavarde955          10        2         6         9         3         2         
Vardas956           Pavarde956          9         10        9         9         1         3         
Vardas957           Pavarde957          1         1         6         10        3         8         
Vardas958           Pavarde958          7         5         1         4         6         2         
Vardas959           Pavarde959          1         10        5         7         1         3         
Vardas960           Pavarde960          5         2         7         6         2         10        
Vardas961           Pavarde961          2         9         10        1         9         1         
Vardas962           Pavarde962          5         7         9         9         3         2         
Vardas963           Pavarde963          6         6         4         4         9         3         
Vardas964           Pavarde964          2         4         2         3         7         5         
Vardas965           Pavarde965          10        9         3         10        1         2         
Vardas966           Pavarde966          7         8         10        10        2         10        
Vardas967           Pavarde967          4         1         4         1         9         3         
Vardas968           Pavarde968          4         7         4         9         1         2         
Vardas969           Pavarde969          7         1         5         3         1         1         
Vardas970           Pavarde970          3         9         6         5         8         9         
Vardas971           Pavarde971          8         8         3         5         7         7         
Vardas972           Pavarde972          2         2         1         7         2         8         
Vardas973           Pavarde973          4         1         2         4         7         3         
Vardas974           Pavarde974          2         10        3         3         6         2         
Vardas975           Pavarde975          2         9         2         4         4         9         
Vardas976           Pavarde976          2         9         10        8         8         8         
Vardas977           Pavarde977          7         7         4         6         6         2         
Vardas978           Pavarde978          7         9         2         5         4         4         
Vardas979           Pavarde979          8         6         5         9         10        1         
Vardas980           Pavarde980          9         2         9         5         2         2         
Vardas981           Pavarde981          7         1         4         1         5         4         
Vardas982           Pavarde982          1         8         7         8         8         9         
Vardas983           Pavarde983          6         7         6         5         1         9         
Vardas984           Pavarde984          9         1         1         6         6         2         
Vardas985           Pavarde985          5         1         4         6         3         4         
Vardas986           Pavarde986          5         6         7         3         10        4         
Vardas987           Pavarde987          5         5         3         10        6         3         
Vardas988           Pavarde988          10        1         10        10        6         7         
Vardas989           Pavarde989          8         5         6         9         1         5         
Vardas990           Pavarde990          7         9         6         1         7         5         
Vardas991           Pavarde991          1         10        1         2         2         7         
Vardas992           Pavarde992          4         9         6         1         2         3         
Vardas993           Pavarde993          9         6         5         9         10        2         
Vardas994           Pavarde994          7         2         2         4         8         3         
Vardas995           Pavarde995          3         4         9         5         4         3         
Vardas996           Pavarde996          3         6         2         2         9         7         
Vardas997           Pavarde997          9         7         2         3         9         3         
Vardas998           Pavarde998          4         2         5         5         5         3         
Vardas999           Pavarde999          1         1         5         2         8         8         
Vardas1000          Pavarde1000         6         5         8         9         7         3         
